Quantity,Name,Simple Name,Set,CardNumber,SetCode,Printing,Condition,Language,Rarity,Product ID,SKU
1,Blue-Eyes White Dragon,Blue-Eyes White Dragon,Maximum Gold,MAGO-EN001,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227414,4678572
2,Blue-Eyes Abyss Dragon,Blue-Eyes Abyss Dragon,Legendary Duelists: Season 2,LDS2-EN015,LDS2,1st Edition,Near Mint,English,Secret Rare,230240,4715420
2,Dragon Spirit of White,Dragon Spirit of White,2017 Mega-Tins Mega Pack,MP17-EN010,MP17,1st Edition,Near Mint,English,Ultra Rare,141289,3453282
3,Blue-Eyes Twin Burst Dragon,Blue-Eyes Twin Burst Dragon,Legendary Duelists: Season 2,LDS2-EN019,LDS2,1st Edition,Near Mint,English,Ultra Rare,230247,4715620
1,"Bingo Machine, Go!!!","Bingo Machine, Go!!!",Legendary Duelists: Season 2,LDS2-EN028,LDS2,1st Edition,Near Mint,English,Secret Rare,230261,4716015
1,Blue-Eyes Chaos MAX Dragon,Blue-Eyes Chaos MAX Dragon,Duel Power,DUPO-EN048,DUPO,Unlimited,Near Mint,English,Ultra Rare,186938,4160749
1,The Ultimate Creature of Destruction,The Ultimate Creature of Destruction,Legendary Duelists: Season 2,LDS2-EN030,LDS2,1st Edition,Near Mint,English,Ultra Rare,230263,4716025
1,Blue-Eyes White Dragon,Blue-Eyes White Dragon,2017 Mega-Tins,CT14-EN002,CT14,Limited,Near Mint,English,Secret Rare,141273,3453202
1,Blue-Eyes Solid Dragon,Blue-Eyes Solid Dragon,Legendary Duelists: Season 2,LDS2-EN014,LDS2,1st Edition,Near Mint,English,Ultra Rare,230239,4715415
1,Blue-Eyes Chaos Dragon,Blue-Eyes Chaos Dragon,Legendary Duelists: Season 2,LDS2-EN017,LDS2,1st Edition,Near Mint,English,Secret Rare,230243,4715490
1,Blue-Eyes Twin Burst Dragon (Green),Blue-Eyes Twin Burst Dragon,Legendary Duelists: Season 2,LDS2-EN019,LDS2,1st Edition,Near Mint,English,Ultra Rare,230776,4732582
1,Blue-Eyes Spirit Dragon,Blue-Eyes Spirit Dragon,Legendary Duelists: Season 2,LDS2-EN020,LDS2,1st Edition,Near Mint,English,Ultra Rare,230249,4715685
1,Blue-Eyes Solid Dragon (Purple),Blue-Eyes Solid Dragon,Legendary Duelists: Season 2,LDS2-EN014,LDS2,1st Edition,Near Mint,English,Ultra Rare,230768,4732542
1,Dark Magician,Dark Magician,2017 Mega-Tins,CT14-EN001,CT14,Limited,Near Mint,English,Secret Rare,141268,3453177
1,Magician's Rod,Magician's Rod,2017 Mega-Tins Mega Pack,MP17-EN074,MP17,1st Edition,Near Mint,English,Super Rare,141419,3454132
1,Bond Between Teacher and Student,Bond Between Teacher and Student,Duel Power,DUPO-EN017,DUPO,Unlimited,Near Mint,English,Ultra Rare,186904,4160754
1,The Eye of Timaeus (Blue),The Eye of Timaeus,Dragons of Legend: The Complete Series,DLCS-EN007,DLCS,1st Edition,Near Mint,English,Ultra Rare,222305,4579147
1,The Eye of Timaeus (Green),The Eye of Timaeus,Dragons of Legend: The Complete Series,DLCS-EN007,DLCS,1st Edition,Near Mint,English,Ultra Rare,222306,4579152
1,Magician of Chaos,Magician of Chaos,Duel Power,DUPO-EN001,DUPO,Unlimited,Near Mint,English,Ultra Rare,186889,4160984
1,Magician's Rod,Magician's Rod,The Dark Illusion,TDIL-EN019,TDIL,Unlimited,Near Mint,English,Super Rare,121276,3240728
2,Apprentice Illusion Magician,Apprentice Illusion Magician,Legendary Duelists: Magical Hero,LED6-EN007,LED6,Unlimited,Near Mint,English,Super Rare,206977,4412724
1,Ebon Illusion Magician,Ebon Illusion Magician,Shining Victories: Special Edition,SHVI-ENSE1,SHVI-SE,Limited,Near Mint,English,Super Rare,119256,3149701
1,Magicians' Combination,Magicians' Combination,Legendary Duelists: Magical Hero,LED6-EN005,LED6,Unlimited,Near Mint,English,Ultra Rare,206975,4412849
1,Soul Servant,Soul Servant,Legendary Duelists: Magical Hero,LED6-EN003,LED6,Unlimited,Near Mint,English,Ultra Rare,206971,4412949
1,Dark Magician Girl the Dragon Knight (Green),Dark Magician Girl the Dragon Knight,Dragons of Legend: The Complete Series,DLCS-EN006,DLCS,1st Edition,Near Mint,English,Ultra Rare,222245,4578847
1,Ebon High Magician,Ebon High Magician,2016 Mega-Tins,CT13-EN004,CT13,Limited,Near Mint,English,Ultra Rare,122288,3198159
1,Magician Navigation,Magician Navigation,2017 Mega-Tins Mega Pack,MP17-EN110,MP17,1st Edition,Near Mint,English,Secret Rare,141503,3454562
1,Quintet Magician,Quintet Magician,Duel Power,DUPO-EN040,DUPO,Unlimited,Near Mint,English,Ultra Rare,186930,4161089
1,Harpie Perfumer,Harpie Perfumer,Legendary Duelists: Sisters of the Rose,LED4-EN001,LED4,1st Edition,Near Mint,English,Ultra Rare,183118,3939570
1,"Isolde, Two Tales of the Noble Knights","Isolde, Two Tales of the Noble Knights",Soul Fusion,SOFU-ENSE1,SOFU,Limited,Near Mint,English,Super Rare,181639,3922798
1,Red-Eyes Black Dragon,Red-Eyes Black Dragon,Maximum Gold,MAGO-EN003,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227416,4678582
2,Omni Dragon Brotaur,Omni Dragon Brotaur,2020 Tin of Lost Memories,MP20-EN059,MP20,1st Edition,Near Mint,English,Ultra Rare,220735,4532269
1,Trickstar Live Stage,Trickstar Live Stage,Savage Strike,SAST-EN058,SAST,Unlimited,Near Mint,English,Secret Rare,184164,3979628
1,Trickstar Candina,Trickstar Candina,Code of the Duelist,COTD-EN008,COTD,Unlimited,Near Mint,English,Ultra Rare,139171,3474612
1,Trickstar Corobane,Trickstar Corobane,2020 Tin of Lost Memories,MP20-EN048,MP20,1st Edition,Near Mint,English,Prismatic Secret Rare,220724,4532214
1,Legendary Six Samurai - Shinai,Legendary Six Samurai - Shinai,Spirit Warriors,SPWA-EN044,SPWA,1st Edition,Near Mint,English,Super Rare,152452,3541976
2,Secret Six Samurai - Hatsume,Secret Six Samurai - Hatsume,Spirit Warriors,SPWA-EN003,SPWA,1st Edition,Near Mint,English,Secret Rare,152397,3541635
3,Secret Six Samurai - Genba,Secret Six Samurai - Genba,Spirit Warriors,SPWA-EN002,SPWA,1st Edition,Near Mint,English,Super Rare,152393,3541615
1,Secret Six Samurai - Kizaru,Secret Six Samurai - Kizaru,Spirit Warriors,SPWA-EN005,SPWA,1st Edition,Near Mint,English,Secret Rare,152399,3541645
1,Brotherhood of the Fire Fist - Eland,Brotherhood of the Fire Fist - Eland,Fists of the Gadgets,FIGA-EN014,FIGA,1st Edition,Near Mint,English,Secret Rare,196924,4164311
1,Brotherhood of the Fire Fist - Horse Prince,Brotherhood of the Fire Fist - Horse Prince,Cosmo Blazer,CBLZ-EN097,CBLZ,Unlimited,Near Mint,English,Super Rare,67692,1069235
3,Fire Formation - Tenki,Fire Formation - Tenki,Fists of the Gadgets,FIGA-EN028,FIGA,1st Edition,Near Mint,English,Secret Rare,196938,4164381
3,Solemn Judgment,Solemn Judgment,Secret Slayers,SESL-EN045,SESL,1st Edition,Near Mint,English,Super Rare,211651,4356352
3,Gateway to Chaos,Gateway to Chaos,Shadows in Valhalla,SHVA-EN058,SHVA,1st Edition,Near Mint,English,Secret Rare,173544,3827110
1,Vampire Sucker,Vampire Sucker,Flames of Destruction,FLOD-EN050,FLOD,Unlimited,Near Mint,English,Secret Rare,166358,3758667
1,Hot Red Dragon Archfiend,Hot Red Dragon Archfiend,High-Speed Riders,HSRD-EN040,HSRD,1st Edition,Near Mint,English,Super Rare,106037,2960215
1,Tyrant Red Dragon Archfiend,Tyrant Red Dragon Archfiend,The Dark Illusion,TDIL-EN050,TDIL,Unlimited,Near Mint,English,Ultra Rare,121307,3240908
1,Creation Resonator,Creation Resonator,Starstrike Blast,STBL-EN013,,Unlimited,Near Mint,English,Rare,38547,410342
2,"Nibiru, the Primal Being","Nibiru, the Primal Being",2019 Gold Sarcophagus Tin,TN19-EN013,CT16,Limited,Near Mint,English,Prismatic Secret Rare,197090,4165149
3,Fusion Destiny,Fusion Destiny,Dark Neostorm,DANE-EN054,DANE,Unlimited,Near Mint,English,Super Rare,189409,4089743
1,Zoodiac Thoroughblade,Zoodiac Thoroughblade,2017 Mega-Tins Mega Pack,MP17-EN184,MP17,1st Edition,Near Mint,English,Ultra Rare,141680,3455447
1,Super Polymerization,Super Polymerization,Maximum Gold,MAGO-EN047,MAGO,1st Edition,Near Mint,English,Premium Gold Rare,227470,4678857
1,Union Carrier,Union Carrier,Duel Overload,DUOV-EN009,DUOV,1st Edition,Near Mint,English,Ultra Rare,210217,4346228
1,Animadorned Archosaur,Animadorned Archosaur,Eternity Code,ETCO-EN037,ETCO,1st Edition,Near Mint,English,Secret Rare,213348,4412086
1,Crystron Halqifibrax,Crystron Halqifibrax,Duel Overload,DUOV-EN001,DUOV,1st Edition,Near Mint,English,Ultra Rare,210209,4346188
